user_id,rec1,rec2,rec3,rec4,rec5
1,408,1367,1467,1449,1398
2,1449,1398,178,1189,1467
3,1367,741,1642,1449,56
4,79,483,603,272,22
5,1500,169,1367,1467,114
6,1449,641,1203,647,1463
7,1449,1189,1642,1467,251
8,1449,178,64,318,1467
9,963,313,318,64,408
10,1449,318,1467,1642,1367
11,1449,408,1189,1367,1398
12,313,318,64,1449,22
13,408,1449,169,479,1367
14,1367,1449,1467,1500,169
15,57,1449,496,1642,318
16,313,1449,1467,174,50
17,1367,1467,1449,408,285
18,1449,1639,1642,1367,251
19,1449,1367,1642,408,657
20,313,1449,692,282,22
21,1367,1449,851,285,1524
22,408,1142,1449,1467,169
23,1449,169,114,1367,657
24,318,64,1449,1367,1642
25,313,1449,1467,169,1189
26,1449,1467,1367,318,272
27,1449,1467,64,318,313
28,1467,1449,1189,172,64
29,1449,1467,1367,1642,408
30,1449,1642,1367,318,285
31,1367,1449,408,474,647
32,1449,1467,1189,64,318
33,1449,1467,1642,1367,64
34,100,134,1,127,963
35,313,22,174,318,272
36,134,483,603,8,12
37,1467,1449,408,1367,114
38,143,485,969,22,1642
39,1467,1449,1500,178,318
40,1449,1467,408,169,1367
41,1449,408,1367,1467,169
42,22,313,1189,79,966
43,1449,1467,22,1189,178
44,1449,1467,169,408,1019
45,1449,408,1467,1367,178
46,1449,408,1367,318,483
47,1449,408,1367,1642,718
48,1449,318,64,313,1467
49,60,1367,1449,1558,285
50,1467,1639,1642,1189,267
51,22,313,50,96,174
52,963,483,178,515,64
53,313,1449,318,64,1189
54,1449,1642,1398,1467,318
55,1449,318,1189,64,178
56,313,1467,1449,318,64
57,313,1449,22,1467,1189
58,1467,1367,1449,114,251
59,1449,1467,1367,1398,1642
60,1449,1467,1367,408,1398
61,313,318,22,272,64
62,408,1449,169,1367,1467
63,1449,1467,1367,1639,119
64,1449,408,1467,483,114
65,313,1449,1189,496,22
66,313,1019,272,1467,1449
67,272,313,408,169,1019
68,408,1449,1639,474,1558
69,1367,1467,1449,127,408
70,1449,318,1467,1189,178
71,1449,60,1558,1367,1524
72,1449,1642,963,1639,1467
73,1449,1367,408,1467,475
74,1449,1642,1367,318,1467
75,1449,1367,1467,1398,169
76,1449,1367,851,488,127
77,1449,1367,1467,851,408
78,313,1449,64,1467,318
79,1449,1367,1642,1398,488
80,1449,318,1467,64,1367
81,1449,64,313,1189,1467
82,1449,136,1189,408,657
83,313,966,692,1189,96
84,1449,318,64,963,1189
85,1449,408,178,251,1467
86,1449,1367,1639,1467,408
87,1449,313,496,1467,520
88,1449,1642,19,318,1398
89,1467,1449,272,1367,1398
90,1449,1642,1189,408,251
91,1467,96,1449,318,169
92,1449,1467,1367,1642,1398
93,1449,1642,318,1189,1639
94,1449,1367,1467,408,1642
95,318,1449,313,408,251
96,1449,408,1367,318,1064
97,1467,1367,1019,1500,313
98,318,1449,1467,64,178
99,1467,318,1449,272,195
100,318,1449,64,22,496
101,22,1189,318,174,313
102,1449,1467,318,1642,408
103,1467,1449,1642,1398,318
104,1467,408,1142,1500,50
105,1449,408,1467,178,318
106,1449,318,1189,178,1642
107,1449,1367,1467,408,1642
108,1449,408,1367,1642,1639
109,313,222,966,300,1269
110,318,22,1189,174,966
111,1449,1467,1367,318,1642
112,1449,408,1467,318,169
113,1467,1189,64,1019,272
114,408,1449,169,1367,647
115,1449,1367,1467,851,641
116,1367,1449,1642,1467,1189
117,1449,1467,1367,169,408
118,134,127,963,483,168
119,1449,1398,408,1467,718
120,1449,408,1467,318,313
121,251,1639,483,408,1449
122,1449,1639,488,408,923
123,1449,1367,1642,408,488
124,1449,408,1367,114,1467
125,966,96,265,1189,1
126,1642,1449,1367,1467,318
127,385,96,1016,148,117
128,1449,318,1467,1642,963
129,1449,318,1639,251,1467
130,313,318,1449,1642,1467
131,1449,127,1367,1467,318
132,1449,1367,1467,408,114
133,1449,408,318,313,64
134,22,96,174,1449,79
135,1367,1449,1642,1467,1398
136,1449,1367,285,483,1467
137,272,313,210,64,1269
138,1449,1467,408,1367,1642
139,1449,1367,1642,318,64
140,1449,1467,1398,1642,408
141,117,22,735,774,64
142,1449,1467,1398,64,515
143,1449,1467,318,64,1642
144,1449,408,1467,1189,178
145,1467,1367,1019,1189,127
146,1449,251,1500,1642,1467
147,963,483,318,178,485
148,1449,171,1500,1367,285
149,1467,1449,1367,313,64
150,1467,1449,1367,1642,1398
151,1449,251,285,694,1367
152,316,318,64,496,1449
153,1449,1367,1642,59,1639
154,1449,1367,127,851,1467
155,1449,1467,1642,318,1398
156,1449,1367,408,488,851
157,1449,318,251,1189,483
158,1449,1189,318,1467,1398
159,408,1449,1467,169,313
160,1367,1449,1467,1642,156
161,318,1467,64,750,313
162,1449,318,64,1642,963
